Angle,Method,Errors1,Errors2,Errors3,Errors4,,,,BANG,PI,PID,PI,BANG, ,,,PI,,,PI,PID,B
 90° right turn,PID  right ,-3.14,-1.74,,,,,27.16,26.94,26.55,,,,28.26,,28.04,27.78,,,27.75,27.9,27.73
 90° right turn,PID  right ,-3.13,-1.55,,,,,28.04,27.19,26.76,,,,28.45,,27.38,27.66,,,27.43,27.93,26.92
 90° right turn,PID  right ,-2.96,-1.24,,,,,26.49,27.37,26.3,,,,28.76,,28.16,27.8,,,27.61,28.12,27.1
 90° right turn,PID  right ,-2.77,-1.72,,,,,28.06,26.62,26.06,,,,28.28,,27.99,27.34,,,27.68,27.94,26.96
 90° right turn,PID  right ,-3.07,-1.62,,,,,27.15,27.09,25.88,,,,28.38,,27.83,27.77,,,27.55,27.85,27.01
 90° right turn,PID  right ,-2.82,-1.55,,,,,27.26,26.91,26.59,,,,28.45,,27.99,27.52,,,27.8,28.09,26.65
 90° right turn,PID  right ,-3.03,-1.87,,,,,26.21,26.56,25.67,,,,28.13,,27.91,27.88,,,27.57,27.96,26.89
 90° right turn,PID  right ,-3.28,-0.96,,,,,26.67,26.88,26.4,,,,29.04,,28.06,27.83,,,27.53,27.75,26.96
 90° right turn,PID  right ,-3.28,-1.23,,,,,26.41,26.74,25,,,,28.77,,27.8,27.84,,,27.65,28.43,26.76
 90° right turn,PID  right ,-3.16,-1.73,,,,,26.39,26.37,26.09,,,,28.27,,27.84,28.06,,,27.72,27.96,27.14
 90° right turn,PI right,-3.32,-2.22,,,,,,,,,,,,,,,,,,,
 90° right turn,PI right,-3.92,-2.34,,,,,,,,,,,,,,,,,,,
 90° right turn,PI right,-3,-2.2,,,,,,,,,,,,,,,,,,,
 90° right turn,PI right,-3.39,-2.66,,,,,,,,,,,,,,,,,,,
 90° right turn,PI right,-3.31,-2.23,,,,,,,,,,,,,,,26.61,26.86,,,
 90° right turn,PI right,-3.38,-2.48,,,,,,,,,,,,,,,26.48,26.87,,,
 90° right turn,PI right,-3.39,-2.12,,,,,,,,,,,,,,,25.86,27.04,,,
 90° right turn,PI right,-3.68,-2.17,,,,,,,,,,,,,,,26.61,27.23,,,
 90° right turn,PI right,-3.71,-2.16,,,,,,,,,,,,,,,26.32,26.93,,,
