Method,Errors1,Errors2
PID right,-0.94,
PID right,-1.08,
PID right,-1.01,
PID right,-0.96,
PID right,-1.02,
PID right,-1.03,
PID right,-0.66,
PID right,-0.92,
PID right,-1.04,
PID right,-0.93,
PI right,-1.49,
PI right,-1.59,
PI right,-1.47,
PI right,-1.38,
PI right,-1.06,
PI right,-1.46,
PI right,-0.98,
PI right,-1.2,
PI right,-1.16,
PI right,-0.88,
Bang-bang right,-1.15,
Bang-bang right,-1.01,
Bang-bang right,-1.17,
Bang-bang right,-1.13,
Bang-bang right,-1.34,
Bang-bang right,-1.1,
Bang-bang right,-1.1,
Bang-bang right,-1.13,
Bang-bang right,-1.31,
Bang-bang right,-1.24,
PID left,-2.47,
PID left,-2.65,
PID left,-2.54,
PID left,-2.31,
PID left,-2.49,
PID left,-2.54,
PID left,-2.61,
PID left,-2.72,
PID left,-2.6,
PID left,-2.63,
PI left,-3.23,
PI left,-3.27,
PI left,-3.57,
PI left,-3.34,
PI left,-3.61,
PI left,-3.42,
PI left,-3.52,
PI left,-3.4,
PI left,-3.11,
PI left,-3.65,
Bang-bang left,-3.47,
Bang-bang left,-3.4,
Bang-bang left,-3.32,
Bang-bang left,-3.58,
Bang-bang left,-3.33,
Bang-bang left,-3.15,
Bang-bang left,-3.32,
Bang-bang left,-3.52,
Bang-bang left,-3.16,
Bang-bang left,-3.26,
